paper_id	item_type	content_kind	pdf_path	pdf_sha256	filename	title_query	resolved_title	authors	year	venue	doi	semantic_scholar_paper_id	match_confidence	match_status	bibtex_type	canonical_url	bibtex_key	text_path	chunk_path	abstract_source	date_indexed	notes
s2-5f6399e3a46392e047c1e3d0024715ad84555ab0	article	reference_only				Translational nucleosome positioning: A computational study	Translational nucleosome positioning: A computational study.	J. Neipel, G. Brandani, H. Schiessel	2020	Physical review. E	10.1103/physreve.101.022405	5f6399e3a46392e047c1e3d0024715ad84555ab0		matched	article	https://www.semanticscholar.org/paper/5f6399e3a46392e047c1e3d0024715ad84555ab0	neipel2020study	paper_index/text/s2-5f6399e3a46392e047c1e3d0024715ad84555ab0.txt	paper_index/chunks/s2-5f6399e3a46392e047c1e3d0024715ad84555ab0.jsonl	semantic_scholar	2026-04-20T05:37:28.703225+00:00	
s2-677531036dc569f65dbe27afa614a318eb2b6694	article	reference_only				Langmuir–Blodgett technique for anisotropic colloids: Young investigator perspective	Langmuir-Blodgett technique for anisotropic colloids: Young investigator perspective.	Tao Li, K. Lilja, Ryan J. Morris, G. Brandani	2019	Journal of colloid and interface science	10.1016/j.jcis.2019.01.044	677531036dc569f65dbe27afa614a318eb2b6694		matched	article	https://www.semanticscholar.org/paper/677531036dc569f65dbe27afa614a318eb2b6694	li2019perspective	paper_index/text/s2-677531036dc569f65dbe27afa614a318eb2b6694.txt	paper_index/chunks/s2-677531036dc569f65dbe27afa614a318eb2b6694.jsonl	semantic_scholar	2026-04-20T05:33:17.704850+00:00	
s2-7b6b26414af2afe0208d6410036f4a18d94170b8	article	reference_only				Adsorption of the natural protein surfactant Rsn-2 onto liquid interfaces	Adsorption of the natural protein surfactant Rsn-2 onto liquid interfaces.	G. Brandani, S. Vance, M. Schor, A. Cooper, M. Kennedy, Brian O. Smith, C. MacPhee, D. Cheung	2017	Physical chemistry chemical physics : PCCP	10.1039/c6cp07261e	7b6b26414af2afe0208d6410036f4a18d94170b8		matched	article	https://www.semanticscholar.org/paper/7b6b26414af2afe0208d6410036f4a18d94170b8	brandani2017adsorption	paper_index/text/s2-7b6b26414af2afe0208d6410036f4a18d94170b8.txt	paper_index/chunks/s2-7b6b26414af2afe0208d6410036f4a18d94170b8.jsonl		2026-04-20T05:35:05.427606+00:00	
s2-833c08fba00dd81ba0a73d8578e73e279a499b85	article	reference_only				The lane-switch mechanism for nucleosome repositioning by DNA translocase	The lane-switch mechanism for nucleosome repositioning by DNA translocase	Fritz Nagae, G. Brandani, S. Takada, Tsuyoshi Terakawa	2021	Nucleic Acids Research	10.1093/nar/gkab664	833c08fba00dd81ba0a73d8578e73e279a499b85		matched	article	https://www.semanticscholar.org/paper/833c08fba00dd81ba0a73d8578e73e279a499b85	nagae2021lane	paper_index/text/s2-833c08fba00dd81ba0a73d8578e73e279a499b85.txt	paper_index/chunks/s2-833c08fba00dd81ba0a73d8578e73e279a499b85.jsonl	semantic_scholar	2026-04-20T05:35:28.229494+00:00	
s2-8e61307e4b5e3ffa40f9315b36ee4db40b3f94b6	article	reference_only				Cohesin drives chromatin scanning during the RAD51-mediated homology search	Cohesin drives chromatin scanning during the RAD51-mediated homology search.	Alberto Marin-Gonzalez, Adam T. Rybczynski, Namrata M. Nilavar, Daniel Nguyen, Andrew G. Li, V. Karwacki-Neisius, Roger S. Zou, Franklin J. Avilés-Vázquez, Masato T. Kanemaki, Ralph Scully, T. Ha	2025	Science	10.1126/science.adw1928	8e61307e4b5e3ffa40f9315b36ee4db40b3f94b6		matched	article	https://www.semanticscholar.org/paper/8e61307e4b5e3ffa40f9315b36ee4db40b3f94b6	maringonzalez2025rad51	paper_index/text/s2-8e61307e4b5e3ffa40f9315b36ee4db40b3f94b6.txt	paper_index/chunks/s2-8e61307e4b5e3ffa40f9315b36ee4db40b3f94b6.jsonl	semantic_scholar	2026-04-20T02:40:59.604723+00:00	
s2-9459a10127586efef1599f200d6a565373876844	article	reference_only				The conformation of interfacially adsorbed ranaspumin-2 is an arrested state on the unfolding pathway	The Conformation of Interfacially Adsorbed Ranaspumin-2 Is an Arrested State on the Unfolding Pathway.	Ryan J. Morris, G. Brandani, Vibhuti Desai, Brian O. Smith, M. Schor, C. MacPhee	2016	Biophysical Journal	10.1016/j.bpj.2016.06.006	9459a10127586efef1599f200d6a565373876844		matched	article	https://www.semanticscholar.org/paper/9459a10127586efef1599f200d6a565373876844	morris2016ranaspumin	paper_index/text/s2-9459a10127586efef1599f200d6a565373876844.txt	paper_index/chunks/s2-9459a10127586efef1599f200d6a565373876844.jsonl	semantic_scholar	2026-04-20T05:37:52.791201+00:00	
s2-c5d91cdaa74bcd44d89d227111b1c6a0dc6fbfa4	article	reference_only				Nanoscale DNA tracing reveals the self-organization mechanism of mitotic chromosomes	Nanoscale DNA tracing reveals the self-organization mechanism of mitotic chromosomes	K. S. Beckwith, Andreas Brunner, N. R. Morero, Ralf Jungmann, J. Ellenberg	2025	Cell	10.1016/j.cell.2025.02.028	c5d91cdaa74bcd44d89d227111b1c6a0dc6fbfa4		matched	article	https://www.semanticscholar.org/paper/c5d91cdaa74bcd44d89d227111b1c6a0dc6fbfa4	beckwith2025self	paper_index/text/s2-c5d91cdaa74bcd44d89d227111b1c6a0dc6fbfa4.txt	paper_index/chunks/s2-c5d91cdaa74bcd44d89d227111b1c6a0dc6fbfa4.jsonl	semantic_scholar	2026-04-20T02:35:57.070155+00:00	
s2-ce49bbd1337104d5804fa216ed3227c8a3dd1bfc	article	reference_only				Molecular dynamics simulations for the study of chromatin biology	Molecular dynamics simulations for the study of chromatin biology.	G. Brandani, Soundhararajan Gopi, Masataka Yamauchi, S. Takada	2022	Current Opinion in Structural Biology	10.1016/j.sbi.2022.102485	ce49bbd1337104d5804fa216ed3227c8a3dd1bfc		matched	article	https://www.semanticscholar.org/paper/ce49bbd1337104d5804fa216ed3227c8a3dd1bfc	brandani2022chromatin	paper_index/text/s2-ce49bbd1337104d5804fa216ed3227c8a3dd1bfc.txt	paper_index/chunks/s2-ce49bbd1337104d5804fa216ed3227c8a3dd1bfc.jsonl	manual_verified	2026-04-20T05:38:38.672374+00:00	replaced via library_edit.py
s2-d13064ba1095fa4a51031d411d26be682a5167f7	article	reference_only				Can the AMOEBA forcefield be used for high pressure simulations? The extreme case of methane and water	Can the AMOEBA forcefield be used for high pressure simulations? The extreme case of methane and water.	M. Kerr, G. J. Ackland, Davide Marenduzzo, G. Brandani, Ciprian G. Pruteanu	2024	The Journal of Chemical Physics	10.1063/5.0211222	d13064ba1095fa4a51031d411d26be682a5167f7		matched	article	https://www.semanticscholar.org/paper/d13064ba1095fa4a51031d411d26be682a5167f7	kerr2024case	paper_index/text/s2-d13064ba1095fa4a51031d411d26be682a5167f7.txt	paper_index/chunks/s2-d13064ba1095fa4a51031d411d26be682a5167f7.jsonl	semantic_scholar	2026-04-20T05:39:33.789280+00:00	
s2-ee17ccaf3ee7a148bd32983337ef1da7ce1a5c2f	article	reference_only				Colloidal Spherocylinders at an Interface: Flipper Dynamics and Bilayer Formation	Colloidal Spherocylinders at an Interface: Flipper Dynamics and Bilayer Formation.	Tao Li, G. Brandani, Davide Marenduzzo, Paul S. Clegg	2017	Physical Review Letters	10.1103/PhysRevLett.119.018001	ee17ccaf3ee7a148bd32983337ef1da7ce1a5c2f		matched	article	https://www.semanticscholar.org/paper/ee17ccaf3ee7a148bd32983337ef1da7ce1a5c2f	li2017dynamics	paper_index/text/s2-ee17ccaf3ee7a148bd32983337ef1da7ce1a5c2f.txt	paper_index/chunks/s2-ee17ccaf3ee7a148bd32983337ef1da7ce1a5c2f.jsonl		2026-04-20T05:34:40.794290+00:00	
sha256-59099b2b66f406dd	article	pdf_backed	articles/3d_genome_exp/Hansen 2023 NatGenet - Region Capture Micro-C reveals coalescence of enhancers and promoters into nested microcompartments.pdf	59099b2b66f406dd9c8f359235c669ade484b20ea24be7705506aa1ebe88cc3e	Hansen 2023 NatGenet - Region Capture Micro-C reveals coalescence of enhancers and promoters into nested microcompartments.pdf	Region Capture Micro-C reveals coalescence of enhancers and promoters into nested microcompartments	Region Capture Micro-C reveals coalescence of enhancers and promoters into nested microcompartments	Viraat Y. Goel, Miles K. Huseyin, Anders S. Hansen	2023	Nature Genetics	10.1038/s41588-023-01391-1	58bcced420cb008c567016e8ecfe39365f7f3eb1	1.0	matched_via_doi	article	https://doi.org/10.1038/s41588-023-01391-1	goel2023capture	paper_index/text/sha256-59099b2b66f406dd.txt	paper_index/chunks/sha256-59099b2b66f406dd.jsonl		2026-04-17T03:12:31.010706+00:00	year_hint_mismatch:2023!=2022 | replaced via library_edit.py
sha256-d88ce6c374298a0d	article	pdf_backed	articles/3d_genome_exp/Hsieh 2020 MolCell - Resolving the 3D Landscape of Transcription-Linked Mammalian Chromatin Folding.pdf	d88ce6c374298a0da6bfc8ea354f990495a2170a3ac6bfb5e98bf2642e154a1c	Hsieh 2020 MolCell - Resolving the 3D Landscape of Transcription-Linked Mammalian Chromatin Folding.pdf	Resolving the 3D Landscape of Transcription-Linked Mammalian Chromatin Folding	Resolving the 3D Landscape of Transcription-Linked Mammalian Chromatin Folding	Tsung-Han S. Hsieh, Claudia Cattoglio, Elena Slobodyanyuk, Anders S. Hansen, Oliver J. Rando, Robert Tjian, Xavier Darzacq	2020	Molecular Cell	10.1016/j.molcel.2020.03.002	00ce5453cdcbd377615134bd5ed621fbda09a479	1.0	matched_via_doi	article	https://doi.org/10.1016/j.molcel.2020.03.002	hsieh2019folding	paper_index/text/sha256-d88ce6c374298a0d.txt	paper_index/chunks/sha256-d88ce6c374298a0d.jsonl	semantic_scholar	2026-04-17T03:10:00.921366+00:00	year_hint_mismatch:2020!=2019 | venue_hint_mismatch:molecularcell!=biorxiv
sha256-b63866078b35c07e	article	pdf_backed	articles/3d_genome_exp/Hsieh 2020 MolCell - Ultrastructural Details of Mammalian Chromosome Architecture.pdf	b63866078b35c07e75df50d9046f91ef9dd0aa501c1fa8dea23402b4726b5267	Hsieh 2020 MolCell - Ultrastructural Details of Mammalian Chromosome Architecture.pdf	Ultrastructural Details of Mammalian Chromosome Architecture	Ultrastructural Details of Mammalian Chromosome Architecture	Nils Krietenstein, Sameer Abraham, Sergey V. Venev, Nezar Abdennur, Johan Gibcus, Tsung-Han S. Hsieh, Krishna Mohan Parsi, Liyan Yang, René Maehr, Leonid A. Mirny, Job Dekker, Oliver J. Rando	2020	Molecular Cell	10.1016/j.molcel.2020.03.003	2a4265cfbbbc75d2452ddcd7418d2cd85bc9f1e6	1.0	matched_via_doi	article	https://doi.org/10.1016/j.molcel.2020.03.003	krietenstein2020architecture	paper_index/text/sha256-b63866078b35c07e.txt	paper_index/chunks/sha256-b63866078b35c07e.jsonl	semantic_scholar	2026-04-17T03:12:34.974814+00:00	year_hint_mismatch:2020!=2019 | venue_hint_mismatch:molecularcell!=biorxiv
sha256-6493ab5b75cb9f1b	article	pdf_backed	articles/3d_genome_exp/Lieberman-Aiden 2023 NatCommun - Chromatin alternates between A and B compartments at kilobase scale for subgenic organization.pdf	6493ab5b75cb9f1b4fc55f200831d695b3cbe166d9d56d1c92d8f5fb4d4152b9	Lieberman-Aiden 2023 NatCommun - Chromatin alternates between A and B compartments at kilobase scale for subgenic organization.pdf	Chromatin alternates between A and B compartments at kilobase scale for subgenic organization	Chromatin alternates between A and B compartments at kilobase scale for subgenic organization	Hannah L. Harris, Huiya Gu, Moshe Olshansky, Ailun Wang, Irene Farabella, Yossi Eliaz, Achyuth Kalluchi, Akshay Krishna, Mozes Jacobs, Gesine Cauer, Melanie Pham, Suhas S. P. Rao, Olga Dudchenko, Arina Omer, Kiana Mohajeri, Sungjae Kim, Michael H. Nichols, Eric S. Davis, Dimos Gkountaroulis, Devika Udupa, Aviva Presser Aiden, Victor G. Corces, Douglas H. Phanstiel, William Stafford Noble, Guy Nir, Michele Di Pierro, Jeong-Sun Seo, Michael E. Talkowski, Erez Lieberman Aiden, M. Jordan Rowley	2023	Nature Communications	10.1038/s41467-023-38429-1	7d959b12e73cd2399d6b1055ef965da96d13a9d3	1.0	matched_via_doi	article	https://doi.org/10.1038/s41467-023-38429-1	harris2023scale	paper_index/text/sha256-6493ab5b75cb9f1b.txt	paper_index/chunks/sha256-6493ab5b75cb9f1b.jsonl	semantic_scholar	2026-04-17T03:12:37.660289+00:00	
sha256-4e8f2c15514fc1fa	article	pdf_backed	articles/3d_genome_exp/delaat_2018_NatGenet_MC-4C_multi-way_interactions_enhancer_hubs.pdf	4e8f2c15514fc1fad4507b3cd4729abe853ac84c630f5b7b409e1e9263c351da	delaat_2018_NatGenet_MC-4C_multi-way_interactions_enhancer_hubs.pdf	MC 4C multi way interactions enhancer hubs	Enhancer hubs and loop collisions identified from single-allele topologies	Amin Allahyar, Carlo Vermeulen, Britta A. M. Bouwman, Peter H. L. Krijger, Marjon J. A. M. Verstegen, Geert Geeven, Melissa van Kranenburg, Mark Pieterse, Roy Straver, Judith H. I. Haarhuis, Kees Jalink, Hans Teunissen, Ivo J. Renkens, Wigard P. Kloosterman, Benjamin D. Rowland, Elzo de Wit, Jeroen de Ridder, Wouter de Laat	2018	Nature Genetics	10.1038/s41588-018-0161-5	9bd2f912eb19d41070ae84df5a934cb257e3e58d	0.4714	matched_via_doi	article	https://doi.org/10.1038/s41588-018-0161-5	allahyar2018collisions	paper_index/text/sha256-4e8f2c15514fc1fa.txt	paper_index/chunks/sha256-4e8f2c15514fc1fa.jsonl		2026-04-17T03:13:34.527032+00:00	year_hint_mismatch:2018!=2026 | venue_hint_mismatch:naturegenetics!=biorxiv
sha256-7eaf88bdab1985c8	article	pdf_backed	articles/3d_genome_exp/imielinski_2022_NatBiotechnol_pore-c_multi-way_chromatin_interactions.pdf	7eaf88bdab1985c89a3bc5bb37a1c5e229905bdd3dd0490780becce27a17d6fb	imielinski_2022_NatBiotechnol_pore-c_multi-way_chromatin_interactions.pdf	pore c multi way chromatin interactions	Identifying synergistic high-order 3D chromatin conformations from genome-scale nanopore concatemer sequencing	Aditya S. Deshpande, Netha Ulahannan, Matthew Pendleton, Xiaoguang Dai, Lynn Ly, Julie M. Behr, Stefan Schwenk, Will Liao, Michael A. Augello, Carly Tyer, Priyesh Rughani, Sarah Kudman, Huasong Tian, Hannah G. Otis, Emily Adney, David Wilkes, Juan Miguel Mosquera, Christopher E. Barbieri, Ari Melnick, David Stoddart, Daniel J. Turner, Sissel Juul, Eoghan Harrington, Marcin Imieliński	2022	Nature Biotechnology	10.1038/s41587-022-01289-z	83c3f883125254ea3b0329e5fed4eab98f8625b5	0.6756	matched_via_doi	article	https://doi.org/10.1038/s41587-022-01289-z	deshpande20223d	paper_index/text/sha256-7eaf88bdab1985c8.txt	paper_index/chunks/sha256-7eaf88bdab1985c8.jsonl	semantic_scholar	2026-04-17T03:13:34.539800+00:00	year_hint_mismatch:2022!=2023 | venue_hint_mismatch:naturebiotechnology!=biology
sha256-151ea39674e64845	article	pdf_backed	articles/3d_genome_exp/rakapakse_2022_NatCommun_chromatin_multi-way_interactions.pdf	151ea39674e64845d83e4bb22cb813bf8676d4e8cc67959c708e9b07fbbd4e92	rakapakse_2022_NatCommun_chromatin_multi-way_interactions.pdf	chromatin multi way interactions	Deciphering multi-way interactions in the human genome	Gabrielle A. Dotson, Can Chen, Stephen Lindsly, Anthony Cicalo, Sam Dilworth, Charles Ryan, Sivakumar Jeyarajan, Walter Meixner, Cooper Stansbury, Joshua Pickard, Nicholas Beckloff, Amit Surana, Max Wicha, Lindsey A. Muir, Indika Rajapakse	2022	Nature Communications	10.1038/s41467-022-32980-z	83c3f883125254ea3b0329e5fed4eab98f8625b5	0.825	matched_via_doi	article	https://doi.org/10.1038/s41467-022-32980-z	dotson2022interactions	paper_index/text/sha256-151ea39674e64845.txt	paper_index/chunks/sha256-151ea39674e64845.jsonl	semantic_scholar	2026-04-17T03:13:55.022242+00:00	year_hint_mismatch:2022!=2023 | venue_hint_mismatch:naturecommunications!=biology
sha256-6037bc6d348707eb	article	pdf_backed	articles/3d_genome_exp/wang_2022_NatCommun_FLAMINGO.pdf	6037bc6d348707eb3427ea32429985d1d1824090699b0f285061129958eedda6	wang_2022_NatCommun_FLAMINGO.pdf	FLAMINGO	Reconstruct high-resolution 3D genome structures for diverse cell-types using FLAMINGO	Hao Wang, Jiaxin Yang, Yu Zhang, Jianliang Qian, Jianrong Wang	2022	Nature Communications	10.1038/s41467-022-30270-2	26218bdcc3945c7edae7aa2adbfba4cd820a2df3	0.92	matched_via_doi	article	https://doi.org/10.1038/s41467-022-30270-2	wang2022structures	paper_index/text/sha256-6037bc6d348707eb.txt	paper_index/chunks/sha256-6037bc6d348707eb.jsonl	semantic_scholar	2026-04-17T03:13:57.713951+00:00	venue_hint_mismatch:naturecommunications!=arxiv
sha256-9dd8d39f589a46b4	article	pdf_backed	articles/3d_genome_mechanism/Cavalli 2024 - Determining the functional relationship between epigenetic and physical chromatin domains in Drosophila.pdf	9dd8d39f589a46b474352372a65ea1396eee2fe1762547a4ebf9a59167836f82	Cavalli 2024 - Determining the functional relationship between epigenetic and physical chromatin domains in Drosophila.pdf	Determining the functional relationship between epigenetic and physical chromatin domains in Drosophila	Determining the functional relationship between epigenetic and physical chromatin domains in Drosophila	Denaud, Sandrine and Sabar{\'\i}s, Gonzalo and Di Stefano, Marco and Papadopoulos, Giorgio-Lucio and Schuettengruber, Bernd and Cavalli, Giacomo	2025	Genome Biology		4c7e7bcda367c6f37f7c62de5c7f72d72c673cff	1.0	matched_via_doi	article	https://doi.org/10.21203/rs.3.rs-4901395/v1	denaud2025determining	paper_index/text/sha256-9dd8d39f589a46b4.txt	paper_index/chunks/sha256-9dd8d39f589a46b4.jsonl	semantic_scholar	2026-04-17T03:14:00.071571+00:00	year_hint_mismatch:2024!=2025 | replaced via library_edit.py
sha256-3ec1f2a91bd0a3e1	article	pdf_backed	articles/3d_genome_mechanism/Dekker 2023 MolCell - Spatial and temporal organization of the genome- Current state and future aims of the 4D nucleome project.pdf	3ec1f2a91bd0a3e1e7b35456f258f2ffe6ad3069e99c326c153a533b35b870dd	Dekker 2023 MolCell - Spatial and temporal organization of the genome- Current state and future aims of the 4D nucleome project.pdf	Spatial and temporal organization of the genome- Current state and future aims of the 4D nucleome project	Spatial and temporal organization of the genome: Current state and future aims of the 4D nucleome project	Job Dekker, Frank Alber, Sarah Aufmkolk, Brian J. Beliveau, Benoit G. Bruneau, Andrew S. Belmont, Lacramioara Bintu, Alistair Boettiger, Riccardo Calandrelli, Christine M. Disteche, David M. Gilbert, Thomas Gregor, Anders S. Hansen, Bo Huang, Danwei Huangfu, Reza Kalhor, Christina S. Leslie, Wenbo Li, Yun Li, Jian Ma, William S. Noble, Peter J. Park, Jennifer E. Phillips-Cremins, Katherine S. Pollard, Susanne M. Rafelski, Bing Ren, Yijun Ruan, Yaron Shav-Tal, Yin Shen, Jay Shendure, Xiaokun Shu, Caterina Strambio-De-Castillia, Anastassiia Vertii, Huaiying Zhang, Sheng Zhong	2023	Molecular Cell	10.1016/j.molcel.2023.06.018	2106c7b39ae0d27a000c1ea491a7d7a27890992a	1.0	matched_via_doi	article	https://doi.org/10.1016/j.molcel.2023.06.018	dekker2023organization	paper_index/text/sha256-3ec1f2a91bd0a3e1.txt	paper_index/chunks/sha256-3ec1f2a91bd0a3e1.jsonl	semantic_scholar	2026-04-17T03:14:02.091618+00:00	
