paper_id	pdf_path	match_status	resolved_title	doi	year
sha256-a2053dbeb3a980c4	articles/chromatin_and_gene_regulation/Gregor 2023 Science - Stochastic motion and transcriptional dynamics ofpairs of distal DNA loci on a compacted chromosome.pdf	needs_manual_review	Stochastic motion and transcriptional dynamics of pairs of distal DNA loci on a compacted chromosome	10.1126/science.adf5568	2023
sha256-4ad0bdb04c38d7f7	articles/chromatin_and_gene_regulation/Han 2023 biorxiv - Machine learning of enhancer-promoter specificity based on enhancer perturbation studies reveals a distinct class of enhancers.pdf	matched	Machine learning of enhancer-promoter specificity based on enhancer perturbation studies reveals a distinct class of enhancers	10.1101/2023.06.30.547290	2023
sha256-ce01247cb1fa3b1b	articles/chromatin_and_gene_regulation/Lieberman Aiden 2024 bioRxiv - Cohesin-mediated 3D contacts tune enhancer-promoter regulation.pdf	matched	Cohesin-mediated 3D contacts tune enhancer-promoter regulation	10.1101/2024.07.12.603288	2024
sha256-25df97042ccea808	articles/chromatin_and_gene_regulation/Marenduzzo 2024 bioRxiv - Bridging-Induced Phase Separation and Loop Extrusion Drive Noise in Chromatin Transcription.pdf	matched	Bridging-Induced Phase Separation and Loop Extrusion Drive Noise in Chromatin Transcription.	10.1103/bjq4-xnsy	2024
sha256-9841567cb55c1d41	articles/chromatin_and_gene_regulation/Ochiai 2023 biorxiv - Transcription-coupled changes in higher-order genomic structure and transcription hub viscosity prolong enhancer-promoter connectivity.pdf	matched	Transcription-coupled changes in higher-order genomic structure and transcription hub viscosity prolong enhancer-promoter connectivity	10.1101/2023.11.27.568629	2023
sha256-ed1fe04ac2c2d68b	articles/chromatin_and_gene_regulation/Papantonis 2023 bioRxiv - Competition between transcription and loop extrusion modulates promoter and enhancer dynamics.pdf	matched	Competition between transcription and loop extrusion modulates promoter and enhancer dynamics	10.21203/rs.3.rs-3164817/v1	2023
sha256-c932592c056c94ff	articles/chromatin_and_gene_regulation/Razin 2023 biorxiv - A genome-wide nucleosome-resolution map of promoter-centered interactions in human cells corroborates the enhancer-promoter looping model.pdf	needs_manual_review	A genome-wide nucleosome-resolution map of promoter-centered interactions in human cells corroborates the enhancer-promoter looping model	10.1101/2023.02.12.528105	2024
sha256-b154b47770613e11	articles/chromatin_and_gene_regulation/bickmore_2022_birxiv_cohesin_required_for_long-range_enhancer_action.pdf	needs_manual_review	Cohesin is required for long-range enhancer action	10.1101/2021.06.24.449812	2021
sha256-ea41faac955fb4b1	articles/chromatin_and_gene_regulation/chakraborty_2023_NatGenet_Sox2_enhancer-promoter_interactions_bypassing_CTCF.pdf	matched_via_doi	Enhancer–promoter interactions can bypass CTCF-mediated boundaries and contribute to phenotypic robustness	10.1038/s41588-022-01295-6	2023
sha256-668740e87c61fd63	articles/chromatin_and_gene_regulation/drouin_2022_NatRevMolCellBiol_pioneer_factors.pdf	not_found	Pioneer factors: nature or nurture?	10.1080/10409238.2024.2355885	2024
sha256-21bdf165d7c9607d	articles/chromatin_and_gene_regulation/ochiai_2022_biorxiv_straming-tag_method.pdf	matched	STREAMING-tag system reveals spatiotemporal relationships between transcriptional regulatory factors and transcriptional activity	10.1101/2022.01.06.472721	2022
sha256-ec1faeb966376b99	articles/chromatin_and_gene_regulation/oudelaar_2022_NatCommun_cohesin_and_ctcf_effect_on_chromatin_topology_and_gene_expression_SI.pdf	not_found	Supplementary Figures and Tables		
sha256-4cc229d54c90eabe	articles/chromatin_and_gene_regulation/zhang_2022_biorxiv_enhancer-promoter_communication_transcription_theory.pdf	not_found	Enhancer-promoter communication in Drosophila developmental gene transcription.	10.1387/ijdb.230218gh	2024
sha256-afe4fd9b47ec8ab2	articles/chromatin_remodelers/Bartholomew - Nat Commun 2017 - INO80 exchanges H2A.Z for H2A by translocating on DNA proximal to histone dimers.pdf	matched	INO80 exchanges H2A.Z for H2A by translocating on DNA proximal to histone dimers	10.1038/ncomms15616	2017
sha256-2e4a61b7c7a7c75e	articles/chromatin_remodelers/Bartholomew 2023 rs - New insights into the mechanism and DNA-sequence specificity of INO80 chromatin remodeling.pdf	matched	New insights into the mechanism and DNA-sequence specificity of INO80 chromatin remodeling	10.21203/rs.3.rs-3443329/v1	2023
sha256-5ca19ea78cf1ce20	articles/chromatin_remodelers/Bowman - Annu Rev Biophys 2021 - Biophysics of Chromatin Remodeling.pdf	not_found	Chromatin-remodeling for transcription	10.1017/S003358351700004X	2017
sha256-26cd4d958e4c936b	articles/chromatin_remodelers/Bowman - J Mol Biol 2017 - The Sequence of Nucleosomal DNA Modulates Sliding by the Chd1 Chromatin Remodeler.pdf	matched	The Sequence of Nucleosomal DNA Modulates Sliding by the Chd1 Chromatin Remodeler.	10.1016/j.jmb.2017.02.002	2017
sha256-ec4e9603d59b2ce5	articles/chromatin_remodelers/Bowman - Mol Cell 2017 - Interdomain Communication of the Chd1 Chromatin Remodeler across the DNA Gyres of the Nucleosome.pdf	matched	Interdomain Communication of the Chd1 Chromatin Remodeler across the DNA Gyres of the Nucleosome.	10.1016/j.molcel.2016.12.011	2017
sha256-4207466fc94bea3a	articles/chromatin_remodelers/Bowman - Mol Cell 2017 - The Chd1 Chromatin Remodeler Shifts Nucleosomal DNA Bidirectionally as a Monomer.pdf	matched	The Chd1 Chromatin Remodeler Shifts Nucleosomal DNA Bidirectionally as a Monomer.	10.1016/j.molcel.2017.08.018	2017
sha256-392925886048c01c	articles/chromatin_remodelers/Bowman - Nat Commun 2019 - Direct observation of coordinated DNA movements on the nucleosome during chromatin remodelling.pdf	matched	Direct observation of coordinated DNA movements on the nucleosome during chromatin remodelling	10.1038/s41467-019-09657-1	2019
sha256-938e1447a8a565d4	articles/chromatin_remodelers/Bowman - eLife 2018 - A twist defect mechanism for ATP-dependent translocation of nucleosomal DNA.pdf	matched	A twist defect mechanism for ATP-dependent translocation of nucleosomal DNA	10.7554/eLife.34100	2018
sha256-34fe7960e6e42ec6	articles/chromatin_remodelers/Brangwynne 2023 Cell - A disordered region controls cBAF activity via condensation and partner recruitment.pdf	matched	A disordered region controls cBAF activity via condensation and partner recruitment.	10.1016/j.cell.2023.08.032	2023
sha256-102edbc66c2b6a49	articles/chromatin_remodelers/Chen - Nat Struct Mol Biol 2019 - Structures of the ISWI–nucleosome complex reveal a conserved mechanism of chromatin remodeling.pdf	matched	Structures of the ISWI–nucleosome complex reveal a conserved mechanism of chromatin remodeling	10.1038/s41594-019-0199-9	2019
sha256-d491818fa08fe428	articles/chromatin_remodelers/Chen - Nature 2017 - Mechanism of chromatin remodelling revealed by the Snf2-nucleosome structure.pdf	matched	Mechanism of chromatin remodelling revealed by the Snf2-nucleosome structure	10.1038/nature22036	2017
sha256-9ebff4663fbfa190	articles/chromatin_remodelers/Chen - Nature 2019 - Mechanism of DNA translocation underlying chromatin remodelling by Snf2.pdf	matched	Mechanism of DNA translocation underlying chromatin remodelling by Snf2	10.1038/s41586-019-1029-2	2019
sha256-de0db5e56e73eb4c	articles/chromatin_remodelers/Chen 2025 Science - Structural insights into chromatin remodeling by ISWI during active ATP hydrolysis.pdf	matched	Structural insights into chromatin remodeling by ISWI during active ATP hydrolysis.	10.1126/science.adu5654	2025
sha256-c152bc6f43bfb743	articles/chromatin_remodelers/Clapier 2021 ijms - Sophisticated Conversations between Chromatin and Chromatin Remodelers and Dissonances in Cancer.pdf	matched	Sophisticated Conversations between Chromatin and Chromatin Remodelers, and Dissonances in Cancer	10.3390/ijms22115578	2021
sha256-98eae12f4906c358	articles/chromatin_remodelers/Clark 2024 NSMB - The yeast genome is globally accessible in living cells.pdf	matched	The yeast genome is globally accessible in living cells	10.1038/s41594-024-01318-2	2024
sha256-97ab5f8482e714c3	articles/chromatin_remodelers/Cramer - Nature 2017 - Nucleosome-Chd1 structure and implications for chromatin remodelling.pdf	matched	Nucleosome-Chd1 structure and implications for chromatin remodelling	10.1038/nature24046	2017
sha256-7cdb73c784f4d30d	articles/chromatin_remodelers/Cramer - bioRxiv 2020 - Structural basis of nucleosome transcription mediated by Chd1 and FACT.pdf	matched	Structural basis of nucleosome transcription mediated by Chd1 and FACT	10.1101/2020.11.30.403857	2020
sha256-dc3a4256f4917ff7	articles/chromatin_remodelers/Eustermann 2023 Science - Hexasome-INO80 complex reveals structural basis ofnoncanonical nucleosome remodeling.pdf	matched	Hexasome-INO80 complex reveals structural basis of noncanonical nucleosome remodeling	10.1126/science.adf6287	2023
sha256-a84acfb2019aa3f4	articles/chromatin_remodelers/Henikoff 2024 MolCell - Epigenetic pioneering by SWI-SNF family remodelers.pdf	matched_via_doi	Epigenetic pioneering by SWI/SNF family remodelers	10.1016/j.molcel.2023.10.045	2024
sha256-6dbd901ad646d5b5	articles/chromatin_remodelers/Korber 2023 NAR - A single fiber view of the nucleosome organization in eukaryotic chromatin.pdf	matched	A single fiber view of the nucleosome organization in eukaryotic chromatin	10.1093/nar/gkad1098	2023
sha256-084a70ed82739782	articles/chromatin_remodelers/Leisegang 2024 bioRxiv - Long non-coding RNAs direct the SWI-SNF complex to cell-specific enhancers.pdf	matched	Long non-coding RNAs direct the SWI/SNF complex to cell-specific enhancers	10.1101/2024.03.21.585172	2024
sha256-a92601a37154c671	articles/chromatin_remodelers/Luger - Nature 2020 - FACT caught in the act of manipulating the nucleosome.pdf	matched	FACT caught in the act of manipulating the nucleosome	10.1038/s41586-019-1820-0	2019
sha256-acfc5b7ea101c9e4	articles/chromatin_remodelers/Luk 2025 PLoS Biol - H2A.Z deposition by the SWR complex is stimulated by polyadenine DNA sequences in nucleosomes.pdf	matched	H2A.Z deposition by the SWR complex is stimulated by polyadenine DNA sequences in nucleosomes	10.1371/journal.pbio.3003059	2025
sha256-bf517e33e27aeeae	articles/chromatin_remodelers/Narlikar 2023 NSMB - Nucleosome density shapes kilobase-scale regulation by a mammalian chromatin remodeler.pdf	matched	Nucleosome density shapes kilobase-scale regulation by a mammalian chromatin remodeler	10.1038/s41594-023-01093-6	2023
sha256-021e46b7daba8325	articles/chromatin_remodelers/Oudelaar 2023 bioRxiv - In vitro reconstitution of chromatin domains.pdf	matched	In vitro reconstitution of chromatin domains shows a role for nucleosome positioning in 3D genome organization	10.1038/s41588-023-01649-8	2023
sha256-12277092269c4e6d	articles/chromatin_remodelers/Oudelaar 2024 NatGenet - In vitro reconstitution of chromatin domains shows a role for nucleosome positioning in 3D genome organization.pdf	matched_via_doi	In vitro reconstitution of chromatin domains shows a role for nucleosome positioning in 3D genome organization	10.1038/s41588-023-01649-8	2024
sha256-a5351d89a60ee6cb	articles/chromatin_remodelers/Peterson 2024 Mol Cell - Heterochromatin- Hiding from the remodeling machines.pdf	matched	Heterochromatin: Hiding from the remodeling machines.	10.1016/j.molcel.2024.08.012	2024
sha256-d27b93f5fe74f1e0	articles/chromatin_remodelers/Schiessel - Master Thesis 2020 - Single base pair twist defect driven re-positioning of nucleosomes.pdf	not_found	Single base pair twist defect driven re positioning of nucleosomes		
sha256-33a71c7a49b3f1ff	articles/chromatin_remodelers/Schiessel 2024 PRR - Molecular motor in a box- Attractors repellers and ratchets in chromatin.pdf	matched	Molecular motor in a box: Attractors, repellers, and ratchets in chromatin	10.1103/physrevresearch.6.023236	2024
sha256-e499f4dd88198101	articles/chromatin_remodelers/Wang 2023 NSMB - Cooperation of chromatin remodeling SWI-SNF complex and pioneer factor AP-1 shapes 3D enhancer landscapes.pdf	matched_via_doi	Cooperation of chromatin remodeling SWI/SNF complex and pioneer factor AP-1 shapes 3D enhancer landscapes	10.1038/s41594-022-00880-x	2023
sha256-e00a03228b6ea9b5	articles/chromatin_remodelers/Wani 2024 SciAdv - Genome wide nucleosome landscape shapes 3D chromatin organization.pdf	matched	Genome wide nucleosome landscape shapes 3D chromatin organization	10.1126/sciadv.adn2955	2024
sha256-faf2adb986388860	articles/chromatin_remodelers/Wigley - Nature 2018 - Structure and regulation of the human INO80–nucleosome complex.pdf	matched	Structure and regulation of the human INO80–nucleosome complex	10.1038/s41586-018-0021-6	2018
sha256-fafb9c5be46dfb0e	articles/chromatin_remodelers/Wigley - Science 2018 - Structure and dynamics of the yeast SWR1-nucleosome complex.pdf	matched	Structure and dynamics of the yeast SWR1-nucleosome complex	10.1126/science.aat7716	2018
sha256-cec4722f9a886a61	articles/chromatin_remodelers/bowman_2022_NatStructMolBiol_cryoem_chd1_defect.pdf	matched	Nucleosome recognition and DNA distortion by the Chd1 remodeler in a nucleotide-free state	10.1038/s41594-021-00719-x	2022
sha256-9e6319c4a9427689	articles/chromatin_remodelers/hopfner_2018_INO80_struture.pdf	matched_via_doi	Structural basis for ATP-dependent chromatin remodelling by the INO80 complex	10.1038/s41586-018-0029-y	2018
sha256-00078ef4424df31b	articles/chromatin_remodelers/hopfner_2021_NatCommun_INO80_genome_information_processing.pdf	matched_via_doi	Genome information processing by the INO80 chromatin remodeler positions nucleosomes	10.1038/s41467-021-23016-z	2021
sha256-81c5c299302400c8	articles/chromatin_remodelers/korber_2021_NatCommun_INO80_genome_information_processing.pdf	matched_via_doi	Genome information processing by the INO80 chromatin remodeler positions nucleosomes	10.1038/s41467-021-23016-z	2021
sha256-35f8c0a812bbb25c	articles/chromatin_remodelers/korber_2021_NatCommun_ruler_elements_set_nucleosome_arrays.pdf	matched_via_doi	Ruler elements in chromatin remodelers set nucleosome array spacing and phasing	10.1038/s41467-021-23015-0	2021
sha256-e69bade3c56b5975	articles/chromatin_structure_and_dynamics/Collepardo-Guevara 2025 bioRxiv - Near-atomistic simulations reveal the molecular principles that control chromatin structure1and phase separation.pdf	matched	Near-atomistic simulations reveal the molecular principles that control chromatin structure and phase separation	10.1101/2025.11.17.688899	2025
sha256-9356feaf12d2deeb	articles/chromatin_structure_and_dynamics/Julicher 2024 arXiv - Active Loop Extrusion guides DNA-Protein Condensation.pdf	matched	Active Loop Extrusion guides DNA-Protein Condensation	10.1101/2024.07.03.601883	2024
sha256-f3ef13a0ff81d479	articles/chromatin_structure_and_dynamics/Lequieu 2024 bioRxiv - A molecular view into the structure and dynamics of phase-separated chromatin.pdf	matched	A Molecular View into the Structure and Dynamics of Phase-Separated Chromatin	10.1021/acs.jpcb.4c04420	2024
sha256-8c19da342fe8942c	articles/chromatin_structure_and_dynamics/Maeshima 2025 bioRxiv - Cohesin prevents local mixing of condensed euchromatic domains in living human cells.pdf	needs_manual_review	Cohesin prevents local mixing of condensed euchromatic domains in living human cells	10.1101/2025.08.27.672592	2026
sha256-37b157804b305cee	articles/chromatin_structure_and_dynamics/Maeshima 2025 bioRxiv - Linker histone H1 functions as a liquid-like glue to organize chromatin in living human cells.pdf	matched	Linker histone H1 functions as a liquid-like glue to organize chromatin in living human cells	10.1101/2025.03.05.641622	2025
sha256-e96b7e64885fb8a3	articles/chromatin_structure_and_dynamics/Rosen 2025 Science - Multiscale structure of chromatin condensates explains phase separation and material properties.pdf	needs_manual_review	Multiscale structure of chromatin condensates explains phase separation and material properties	10.1126/science.adv6588	2025
sha256-a2541495008c48fb	articles/coarse-graining/Lindorff-Larsen 2024 bioRxiv - A coarse-grained model for disordered and multi-domain proteins.pdf	matched	A coarse‐grained model for disordered and multi‐domain proteins	10.1002/pro.5172	2024
sha256-ac9fa886260ace59	articles/coarse-graining/Tesei 2025 bioRxiv - A coarse-grained model for disordered proteins under crowded conditions.pdf	matched	A coarse‐grained model for disordered proteins under crowded conditions	10.1002/pro.70232	2025
sha256-25725ad620d5b9b6	articles/coarse-graining/Xu 2026 JCTC - Automatic Refinement of Force Fields Based on Phase Diagrams.pdf	matched_via_doi	Automatic Refinement of Force Fields Based on Phase Diagrams	10.1021/acs.jctc.5c02032	2026
sha256-befc2cb74e50b966	articles/coarse-graining/clementi_2019_ACSCentSci_CGnet.pdf	not_found	CGNet: Few-shot learning for Intracranial Hemorrhage Segmentation	10.1016/j.compmedimag.2025.102505	2025
sha256-a5a66ed063269a16	articles/coarse-graining/noe_2022_arxiv_force_matching_without_forces.pdf	matched	Force-matching Coarse-Graining without Forces	10.48550/arXiv.2203.11167	2022
sha256-f0dcea6b9cdcf232	articles/coarse-graining/tesei_2021_HPS_CG_model_for_IDPs_SI.pdf	not_found	Developing Bonded Potentials for a Coarse-Grained Model of Intrinsically Disordered Proteins	10.1021/acs.jcim.2c00450	2022
sha256-615010535ae1a0a8	articles/crystallography_and_related/cheng_2012_electron_crystallography_book.pdf	matched_via_doi	Electron Crystallography of Soluble and Membrane Proteins	10.1007/978-1-62703-176-9	2013
sha256-cd0728124d8bad78	articles/crystallography_and_related/unwin_1975_JMolBiol_2d_crystal_structure_determination.pdf	not_found	2D Crystal Structure Determination of Bilayer Silicene and Germanene Using Transmission Electron Microscopy		2019
sha256-c45486d056359f97	articles/deep_learning_MD/AlQuraishi 2023 biorxiv - OpenFold- Retraining AlphaFold2 yields new insights into its learning mechanisms and capacity for generalization.pdf	matched	OpenFold: Retraining AlphaFold2 yields new insights into its learning mechanisms and capacity for generalization	10.1038/s41592-024-02272-z	2023
sha256-58a466c76303e23c	articles/deep_learning_MD/DeFabritiis 2023 arXiv - Top-down machine learning of coarse-grained protein force-fields.pdf	matched	Top-Down Machine Learning of Coarse-Grained Protein Force Fields	10.1021/acs.jctc.3c00638	2023
sha256-6722bd3074af7a1c	articles/deep_learning_MD/DePablo 2025 PlosCompBiol - Chromatin structures from integrated AI and polymer physics model.pdf	matched_via_doi	Chromatin structures from integrated AI and polymer physics model	10.1371/journal.pcbi.1012912	2025
sha256-fc6b8253ea936150	articles/deep_learning_MD/Jacobson 2025 bioRxiv - Equijump.pdf	not_found	MIT Open Access Articles Direct Prediction of Phonon Density of States With Euclidean Neural Networks		
sha256-738f63e6f999f5e8	articles/deep_learning_MD/Noe 2023 arxiv - Navigating protein landscapes with a machine-learned transferable coarse-grained model.pdf	matched	Navigating protein landscapes with a machine-learned transferable coarse-grained model	10.1038/s41557-025-01874-0	2023
sha256-2636d50350a9179a	articles/deep_learning_MD/Olsson 2026 SciAdv - Transferable generative models bridge femtosecond tonanosecond time-step molecular dynamics.pdf	needs_manual_review	Transferable generative models bridge femtosecond to nanosecond time-step molecular dynamics	10.1126/sciadv.aed2333	2025
sha256-67ebf79abda0761e	articles/deep_learning_MD/de Pablo 2025 PlosComputBiol - Chromatin structures from integrated AI and polymer physics model.pdf	matched_via_doi	Chromatin structures from integrated AI and polymer physics model	10.1371/journal.pcbi.1012912	2025
sha256-47adee7f35904736	articles/deep_learning_proteins/Young 2025 Science - Protein codes promote selective subcellular compartmentalization.pdf	needs_manual_review	Protein codes promote selective subcellular compartmentalization	10.1101/2024.04.15.589616	2024
sha256-384624231b22e266	articles/deep_learning_theory/Ho 2020 arxiv - Denoising Diffusion Probabilistic Models.pdf	matched	Denoising Diffusion Probabilistic Models		2020
sha256-bdcb63b79ed88f64	articles/deep_learning_theory/Kingma 2013 arxiv - Auto-Encoding Variational Bayes.pdf	matched	Auto-Encoding Variational Bayes		2013
sha256-d87d482d5ae7960e	articles/deep_learning_theory/Polosukhin 2017 NIPS - attention-is-all-you-need.pdf	matched	Attention is All you Need		2017
sha256-4b61540854571c19	articles/deep_learning_theory/Sohl-Dickstein 2015 - Deep Unsupervised Learning using Nonequilibrium Thermodynamics.pdf	matched	Deep Unsupervised Learning using Nonequilibrium Thermodynamics		2015
sha256-73875aac701bc4ab	articles/deep_learning_theory/Vanden-Eijnden 2023 - Building Normalizing Flows with Stochastic Interpolants.pdf	needs_manual_review	Building Normalizing Flows with Stochastic Interpolants	10.48550/arXiv.2209.15571	2022
sha256-293e271d61fe8281	articles/evolution/DeLeonardis 2025 MolBiolEvol - Reconstruction of Ancestral Protein Sequences Using Autoregressive Generative Models.pdf	matched_via_doi	Reconstruction of Ancestral Protein Sequences Using Autoregressive Generative Models	10.1093/molbev/msaf070	2025
sha256-bedc4618cb8b5797	articles/for_sam/Brandani 2023 - Multiscale Bayesian Simulations Reveal Functional Chromatin Condensation of Gene Loci.pdf	matched	Multiscale Bayesian simulations reveal functional chromatin condensation of gene loci	10.1101/2023.12.01.569511	2023
sha256-6a19798e12a0deff	articles/gene_regulation_mechanism/kornberg_2005_TrendsBiochemSci_mediator_review.pdf	not_found	Therapeutic alliance as a mediator of change: A systematic review and evaluation of research.	10.1016/j.cpr.2020.101921	2020
sha256-2feecee0a5922429	articles/gene_regulation_mechanism/shilatifard_2018_NatRev_control_of_transcription_elongation.pdf	not_found	Thelephoric acid and Kynapcin-9 in Mushroom Polyozellus multiflex Inhibit Prolyl Endopeptidase In Vitro		1999
